pedido_id,cliente_id,produto_id,data_compra,quantidade,preco,status
1,397.0,8,2025-04-04,8,2259.24,processando
2,113.0,9,2024-03-03,1,3037.77,cancelado
3,31.0,15,2024-05-19,10,1261.37,entregue
4,95.0,16,2025-04-17,7,2335.02,processando
5,165.0,12,2024-07-12,4,3931.31,entregue
6,239.0,32,2024-05-27,6,3774.71,entregue
7,99.0,6,2024-08-26,9,160.6,enviado
8,58.0,6,2024-07-12,6,617.9,enviado
9,222.0,30,2025-06-14,3,2727.64,entregue
10,267.0,11,2024-06-26,6,3240.03,cancelado
11,156.0,23,2025-07-17,10,3703.2,entregue
12,123.0,4,2025-08-11,7,3289.84,processando
13,93.0,24,2024-02-18,4,3910.24,entregue
14,167.0,3,2025-01-30,5,3315.77,cancelado
15,63.0,13,2026-01-24,7,1611.49,enviado
16,5.0,1,2025-12-28,4,1314.5,enviado
17,87.0,5,2024-09-14,2,790.04,enviado
18,131.0,21,2024-12-18,7,821.89,enviado
19,339.0,28,2025-10-26,9,3098.93,cancelado
20,286.0,1,2024-02-27,7,1466.87,entregue
21,303.0,31,2024-10-01,7,2700.4,processando
22,101.0,6,2024-04-01,2,1823.56,processando
23,134.0,32,2024-01-04,5,983.84,enviado
24,,21,2024-01-06,10,538.35,cancelado
25,381.0,23,2025-04-21,2,478.5,entregue
26,14.0,31,2025-02-09,3,1885.32,processando
27,211.0,19,2025-05-13,7,3508.83,cancelado
28,314.0,3,2024-06-03,9,36.93,processando
29,156.0,13,2025-02-16,4,2504.94,enviado
30,272.0,10,2024-07-26,4,1543.13,entregue
31,311.0,2,2024-01-05,4,1199.42,processando
32,256.0,5,2026-02-21,10,1410.99,cancelado
33,15.0,14,2024-02-29,4,743.79,entregue
34,172.0,28,2026-01-07,8,620.67,entregue
35,153.0,16,2025-03-27,7,-2265.74,entregue
36,392.0,28,2024-02-08,10,3564.75,processando
37,174.0,13,2025-06-16,5,781.91, ENVIADO 
38,316.0,20,2024-09-11,1,3970.91,entregue
39,48.0,24,2025-11-03,9,2898.01,entregue
40,372.0,24,2026-02-08,8,1132.03,cancelado
41,230.0,19,2024-09-08,7,1949.64,entregue
42,184.0,8,2024-06-05,5,962.0,entregue
43,209.0,6,2024-09-06,1,1506.18,processando
44,12.0,19,2026-01-25,-8,2376.52,enviado
45,33.0,27,2024-09-11,4,3602.97,entregue
46,229.0,31,2024-04-16,5,611.53,enviado
47,246.0,16,2024-04-08,8,3687.94,entregue
48,325.0,7,2025-04-05,10,-1402.7,processando
49,313.0,19,2024-02-26,9,1388.03,entregue
50,118.0,29,2025-08-14,6,2983.57,entregue
51,0.0,26,2025-07-28,9,2155.78,entregue
52,7.0,23,2025-09-24,9,2091.02,enviado
53,377.0,25,2024-03-31,4,2042.28,entregue
54,236.0,13,2025-12-10,6,278.33,processando
55,140.0,32,2024-08-04,3,2160.05,processando
56,46.0,24,2026-03-29,6,378.22,entregue
57,181.0,26,2025-08-14,3,3499.63,processando
58,85.0,5,2025-01-27,7,1323.86,entregue
59,271.0,31,2024-06-12,9,1504.2,entregue
60,297.0,13,2024-09-23,2,916.81,entregue
61,366.0,18,2025-02-07,-4,1110.38,enviado
62,10.0,31,2025-12-03,8,1325.11,entregue
63,286.0,12,2025-04-08,3,616.3,cancelado
64,373.0,10,2025-01-14,2,1773.36,cancelado
65,160.0,11,2025-08-25,6,1953.46,cancelado
66,68.0,20,2025-09-21,10,327.28,entregue
67,164.0,14,2024-05-22,8,1235.3,enviado
68,207.0,22,2024-03-12,4,2422.19,entregue
69,329.0,26,2024-05-03,5,1718.11,entregue
70,338.0,27,2026-01-22,8,3754.74,enviado
71,244.0,26,2025-07-08,7,1918.39,entregue
72,134.0,27,2026-03-07,1,3337.42,entregue
73,281.0,26,2024-05-26,-3,3273.06,cancelado
74,34.0,16,2025-07-06,6,2974.86,cancelado
75,193.0,25,2025-05-18,8,2685.17,entregue
76,116.0,28,2024-01-03,4,2749.42,processando
77,258.0,23,2025-07-08,4,70.03,entregue
78,54.0,15,2025-01-14,5,1880.62,cancelado
79,154.0,30,2024-04-17,3,3603.72,cancelado
80,210.0,17,2025-04-21,8,1162.89,entregue
81,11.0,5,2024-03-02,2,2986.07,enviado
82,117.0,30,2026-02-08,10,2445.39,processando
83,273.0,8,2024-12-16,8,792.07,entregue
84,73.0,30,2024-02-26,3,3739.89,processando
85,398.0,32,2026-03-23,4,3276.02,enviado
86,15.0,17,2025-06-14,7,508.41,entregue
87,338.0,4,2025-02-01,2,1212.77,entregue
88,213.0,8,2024-06-09,10,2716.41,cancelado
89,113.0,31,2024-05-13,1,883.13,entregue
90,197.0,21,2024-06-03,9,410.62,cancelado
91,373.0,23,2025-12-17,6,1750.8,entregue
92,15.0,5,2026-03-08,6,2035.73,cancelado
93,88.0,19,2025-02-01,8,2147.12,entregue
94,276.0,5,2024-01-02,9,2642.06,entregue
95,384.0,29,2025-07-13,7,2180.89,cancelado
96,345.0,3,2025-08-14,1,1183.68,cancelado
97,317.0,25,2024-05-13,8,775.76,entregue
98,51.0,21,2026-03-21,1,2357.98,cancelado
99,271.0,1,2024-05-01,10,2626.58,enviado
100,54.0,28,2024-05-13,10,70.91,entregue
101,141.0,19,2025-04-22,3,2630.99, ENTREGUE 
102,16.0,9,2026-03-17,1,588.1,enviado
103,87.0,20,2025-06-25,1,441.22,entregue
104,65.0,32,2024-02-05,2,1691.18,cancelado
105,100.0,11,2025-04-24,3,3814.01,enviado
106,166.0,19,2025-04-27,4,1870.85,enviado
107,365.0,20,2024-01-04,9,3802.06,cancelado
108,324.0,26,2024-06-15,7,918.97,processando
109,126.0,29,2024-08-19,4,2899.61,entregue
110,49.0,18,2024-07-12,3,100.08,processando
111,223.0,19,2026-01-12,-8,539.24,enviado
112,215.0,26,2025-04-14,10,3585.91,enviado
113,34.0,28,2025-10-01,9,3559.19,processando
114,239.0,1,2024-07-15,2,914.33,entregue
115,160.0,2,2025-08-18,6,2723.28,processando
116,49.0,6,2025-08-15,2,1745.07,entregue
117,86.0,30,2024-08-31,-10,2989.42,entregue
118,161.0,29,2024-01-08,5,1357.89,entregue
119,236.0,27,2025-03-23,9,3792.83,enviado
120,219.0,16,2025-12-29,8,1051.73,enviado
121,169.0,7,2025-10-25,6,483.58,entregue
122,139.0,2,2025-06-27,10,2687.87,cancelado
123,124.0,26,2024-11-27,2,2598.63,processando
124,10.0,32,2025-11-30,4,3891.57,enviado
125,114.0,4,2024-03-12,3,1949.11,entregue
126,311.0,16,2025-10-03,7,88.67,enviado
127,96.0,7,2025-04-16,6,1654.45,entregue
128,93.0,1,2024-06-10,9,1632.48,processando
129,221.0,24,2024-01-18,8,3449.26,entregue
130,369.0,7,2025-03-25,1,938.96,entregue
131,122.0,3,2024-08-22,7,2416.7,processando
132,316.0,24,2025-03-06,9,3492.43,enviado
133,187.0,9,2025-10-15,5,420.07,entregue
134,159.0,15,2024-07-03,6,-3259.51,entregue
135,248.0,4,2024-05-16,9,1804.37,enviado
136,63.0,18,2024-04-03,6,2411.73,entregue
137,302.0,30,2025-08-05,9,3540.8,entregue
138,123.0,9,2025-01-15,2,3711.88,entregue
139,,7,2025-02-17,7,653.65,processando
140,116.0,9,2025-06-29,3,1131.87,enviado
141,361.0,14,2025-05-18,10,2513.12,entregue
142,86.0,3,2025-09-26,2,1949.87,cancelado
143,360.0,29,2025-12-02,-8,2885.59,entregue
144,306.0,15,2025-10-12,10,3440.65,processando
145,263.0,5,2024-02-21,2,3722.81,cancelado
146,36.0,32,2024-12-27,1,1289.73,processando
147,383.0,8,2025-01-26,4,854.08,entregue
148,384.0,3,2025-11-13,8,2999.12,entregue
149,322.0,27,2025-03-16,9,1617.39,entregue
150,144.0,31,2026-02-04,5,1608.5,cancelado
151,49.0,10,2025-04-28,6,3940.07,entregue
152,112.0,10,2024-03-31,6,1893.01,enviado
153,323.0,14,2025-04-23,6,2021.16,processando
154,269.0,15,2024-04-22,9,3964.01, ENVIADO 
155,351.0,28,2025-02-06,3,3806.93,enviado
156,112.0,16,2026-03-22,1,2642.67,entregue
157,238.0,11,2024-06-20,6,359.21,enviado
158,17.0,7,2024-11-06,3,900.7,entregue
159,302.0,31,2025-11-11,10,2729.81,entregue
160,50.0,4,2024-11-01,8,2292.56,entregue
161,373.0,28,2025-08-19,1,2328.51,entregue
162,49.0,6,2025-10-16,6,2412.03,entregue
163,313.0,30,2024-07-06,7,2326.84,entregue
164,223.0,16,2024-07-26,4,2018.24,entregue
165,70.0,29,2026-01-12,9,1573.54,entregue
166,308.0,19,2025-06-18,7,770.03,entregue
167,239.0,10,2024-06-22,7,3264.39,enviado
168,370.0,18,2024-07-17,-10,3518.56,processando
169,311.0,11,2025-04-21,3,3579.41,entregue
170,147.0,12,2025-03-04,9,3425.58,cancelado
171,231.0,12,2025-10-01,10,3694.0,entregue
172,331.0,30,2024-08-22,10,3747.2,enviado
173,,7,2024-08-27,9,2655.41,entregue
174,348.0,32,2026-03-13,10,860.22,enviado
175,24.0,26,2024-06-27,5,1859.08,entregue
176,120.0,4,2024-07-29,6,746.64,entregue
177,395.0,14,2024-11-04,1,3127.72,cancelado
178,200.0,5,2025-10-26,1,1987.74,processando
179,279.0,3,2024-08-06,6,336.29,entregue
180,255.0,18,2024-11-07,-4,2593.85,processando
181,289.0,14,2024-07-29,1,1306.13,cancelado
182,326.0,26,2025-08-14,-4,1352.88,entregue
183,270.0,32,2025-11-06,1,2271.86,enviado
184,200.0,22,2025-03-22,8,503.27,entregue
185,18.0,2,2024-07-07,3,399.59,entregue
186,189.0,16,2026-04-19,4,2343.74,entregue
187,246.0,19,2025-09-23,-5,3722.76,enviado
188,173.0,22,2025-11-08,2,1711.74,cancelado
189,74.0,32,2025-08-16,6,2758.18,processando
190,156.0,28,2024-05-11,1,3992.84,processando
191,385.0,3,2024-10-15,8,3543.65,entregue
192,118.0,26,2025-06-12,5,3261.12,entregue
193,93.0,1,2026-02-15,3,149.31,cancelado
