produto_id,nome,categoria,preco,marca
1,Smartphone,Eletrônicos,2274.38,Marca B
2,Notebook,Eletrônicos,138.29,Marca C
3,Tablet,,2428.01,Marca C
4,Fone Bluetooth,Eletrônicos,525.56,Marca B
5,Smartwatch,Eletrônicos,1476.1,Marca D
6,Carregador Portátil,Eletrônicos,1402.75,Marca B
7,Cabo USB-C,Eletrônicos,2527.57,Marca D
8,Camiseta,Vestuário,198.95,Marca B
9,Calça Jeans,Vestuário,200.95,Marca A
10,Tênis Casual,Vestuário,359.04,Marca C
11,Jaqueta,Vestuário,338.95,Marca A
12,Moletom,Vestuário,69.72,Marca A
13,Vestido,Vestuário,189.85,Marca A
14,Sandália,Vestuário,87.83,Marca C
15,Panela Antiaderente,Casa & Cozinha,138.92,Marca A
16,Jogo de Cama,Casa & Cozinha,173.16,Marca A
17,Toalha,Casa & Cozinha,138.93,Marca B
18,Liquidificador,Casa & Cozinha,449.98,Marca C
19,Cafeteira,Casa & Cozinha,471.13,Marca C
20,Travesseiro,Casa & Cozinha,189.12,Marca D
21,Bicicleta,Esportes,1151.0,Marca D
22,Halteres,Esportes,1497.51,Marca C
23,Tapete de Yoga,Esportes,197.47,Marca D
24,Mochila Esportiva,Esportes,487.41,Marca B
25,Garrafa Térmica,Esportes,442.41,Marca D
26,Corda de Pular,Esportes,1258.6,Marca B
27,Romance Nacional,Livros,117.27,Marca D
28,Autoajuda Bestseller,Livros,83.86,Marca B
29,Livro Técnico Python,Livros,43.11,Marca A
30,HQ Marvel,Livros,92.31,Marca C
31,Mangá Demon Slayer,Livros,84.79,Marca B
32,Atlas Histórico,Livros,59.16,Marca A
