pedido_id,cliente_id,produto_id,data_compra,quantidade,preco,status
1,9.0,1,2026-02-13,5,3744.17,entregue
2,41.0,7,2026-01-09,3,1055.17,entregue
3,32.0,17,2024-01-09,1,267.18,entregue
4,4.0,25,2025-06-19,8,2869.18,processando
5,12.0,17,2024-10-25,4,2208.01,processando
6,45.0,19,2024-02-06,1,1764.1,entregue
7,50.0,19,2024-02-16,7,2632.45,enviado
8,28.0,18,2024-12-29,5,2145.29,cancelado
9,39.0,13,2024-03-04,2,481.41,processando
10,33.0,11,2025-07-27,2,3732.38,entregue
11,34.0,11,2025-07-18,1,3038.55,entregue
12,16.0,28,2026-01-05,6,179.82,cancelado
13,41.0,32,2024-11-28,3,1496.16,processando
14,21.0,17,2025-12-17,5,243.57,entregue
15,38.0,26,2025-03-01,8,2224.37,entregue
16,46.0,30,2024-11-18,7,2637.23,entregue
17,25.0,16,2025-03-18,1,912.87,entregue
18,28.0,30,2025-07-29,1,2134.67,entregue
19,39.0,8,2024-10-23,5,3312.03,cancelado
20,41.0,22,2024-02-23,7,2386.09,entregue
21,6.0,5,2025-09-09,4,-3622.67,entregue
22,2.0,20,2024-07-09,9,1468.8,cancelado
23,50.0,17,2024-07-16,5,2157.93,cancelado
24,0.0,11,2025-08-26,1,3308.59,processando
25,17.0,27,2024-09-17,10,1102.66,entregue
26,49.0,16,2026-04-18,2,233.8,processando
27,9.0,26,2025-04-29,3,3984.68,entregue
28,31.0,8,2024-03-13,4,2292.84,processando
29,46.0,15,2024-01-11,1,3449.33,enviado
30,44.0,26,2025-09-11,3,843.69,entregue
31,16.0,3,2026-04-12,-8,1484.03,cancelado
32,12.0,24,2026-03-31,7,2076.31,entregue
33,46.0,25,2024-04-04,3,1974.82,enviado
34,48.0,12,2024-07-12,6,2541.79,enviado
35,18.0,13,2025-09-21,10,3656.99,cancelado
36,1.0,30,2024-06-20,8,3302.71,entregue
37,39.0,25,2024-11-16,10,1936.46,entregue
38,20.0,25,2025-03-06,7,3872.3,entregue
39,,1,2024-08-14,-10,2117.6,entregue
40,1.0,14,2025-12-12,1,2522.26,entregue
41,12.0,13,2025-11-02,4,3053.82,cancelado
42,37.0,32,2026-02-20,3,3482.85,cancelado
43,35.0,25,2024-03-21,4,3280.46,cancelado
44,19.0,8,2025-06-08,1,2317.6,entregue
45,50.0,12,2024-01-17,4,2226.77,enviado
46,29.0,22,2025-06-14,6,2478.48,entregue
47,15.0,10,2024-08-19,1,3712.78,entregue
48,27.0,24,2024-05-17,10,1093.83,entregue
49,5.0,24,2024-12-25,7,-2672.58,processando
50,28.0,13,2024-05-24,1,2735.29,entregue
51,22.0,13,2024-10-24,5,2901.26,entregue
52,21.0,4,2024-11-30,2,-3768.47,cancelado
53,47.0,25,2025-11-04,8,2707.87,enviado
54,45.0,26,2025-04-14,7,2273.68,entregue
55,30.0,15,2025-10-17,8,211.53,entregue
56,35.0,13,2024-09-24,3,982.89,entregue
57,14.0,30,2026-04-15,5,1410.18,entregue
58,17.0,1,2026-01-26,3,1981.6,entregue
59,24.0,23,2026-02-04,5,326.03,cancelado
60,6.0,21,2025-09-09,5,467.04,entregue
61,31.0,10,2024-02-08,4,292.35,enviado
62,10.0,1,2026-02-05,3,2867.34,enviado
63,30.0,29,2024-09-30,9,1261.14,entregue
64,11.0,22,2024-03-21,6,2705.11,enviado
65,30.0,25,2024-06-30,3,2939.69,cancelado
66,6.0,15,2026-04-22,1,1641.64,entregue
67,20.0,31,2024-05-13,6,872.35,entregue
68,5.0,20,2024-03-18,3,1618.23,entregue
69,37.0,31,2024-12-24,9,699.63,cancelado
70,27.0,16,2025-10-07,3,3332.31,entregue
71,5.0,18,2024-05-23,5,1651.63,processando
72,32.0,17,2025-03-11,1,859.38,processando
73,26.0,17,2024-01-12,4,1155.21,entregue
74,33.0,14,2024-07-20,10,1392.56,entregue
75,35.0,22,2025-09-05,5,3243.11,processando
76,1.0,32,2025-09-19,5,3130.8,entregue
77,0.0,24,2025-08-01,1,2646.01,entregue
78,3.0,25,2026-01-28,3,2745.23,entregue
79,35.0,22,2024-05-18,2,495.68,enviado
80,16.0,8,2025-05-22,1,296.31,entregue
81,18.0,5,2026-01-22,3,1804.35,entregue
